ID,G_ddmn,G_vdmn,G_sal,G_rcel,G_lcen,A_ddmn,A_vdmn,A_sal,A_rcen,A_lcen,H_ddmn,H_vdmn,H_sal,H_rcen,H_lcen
sub-A00028150,0.142397866,0.343224615,0.502186418,-0.231329888,0.30015263,0.022027263,-0.300173193,-0.290208042,0.505711734,0.114887096,NA,NA,NA,NA,NA
sub-A00028177,0.110370204,-6.94E-04,0.117764115,0.332794636,0.424528033,0.353614062,0.33905676,-0.161002651,0.163742885,0.388537347,NA,NA,NA,NA,NA
sub-A00028207,0.407542586,0.343171984,0.157936811,0.561842918,0.626968861,-0.022751316,-6.55E-05,-0.284670204,-0.070513092,-0.240577251,NA,NA,NA,NA,NA
sub-A00028266,0.116213329,0.397051066,0.225464985,0.373715699,0.520499706,0.330942243,0.484606564,-0.209456056,0.396494448,0.442646593,NA,NA,NA,NA,NA
sub-A00028287,0.477196932,0.116811834,0.877641141,0.450202495,0.825799823,-0.426509082,-0.251149178,-0.830169141,-0.297642112,-0.621345341,NA,NA,NA,NA,NA
sub-A00028339,0.348145157,0.192716748,0.695276201,0.22681722,0.58317107,-0.214273587,-0.357110411,-0.551982403,0.071697786,-0.245428175,NA,NA,NA,NA,NA
sub-A00028352,0.446016759,0.121444911,0.500870049,0.178400278,0.43382585,-0.228659809,0.058760893,-0.480064958,0.043831065,-0.102591373,NA,NA,NA,NA,NA
sub-A00028399,0.371183068,0.101519719,0.163603857,0.387696117,0.518766046,0.175606743,0.408050001,-0.634738922,0.380321801,0.21247144,NA,NA,NA,NA,NA
sub-A00028429,0.480696082,0.312504828,0.573739588,0.526625276,0.675281346,-0.234257445,-0.160336271,-0.572236121,-0.226049706,-0.303964645,NA,NA,NA,NA,NA
sub-A00028552,0.091341197,-0.299207836,0.663249791,0.160977811,0.319558918,0.072093062,0.426560581,-0.502141178,0.294039637,0.121590346,NA,NA,NA,NA,NA
sub-A00028605,-0.039645474,0.440960795,0.8361094,0.365428418,0.409538507,0.107048579,-0.312291801,-0.65206331,-0.073530152,0.053240452,NA,NA,NA,NA,NA
sub-A00028606,0.17206645,0.32591027,0.26351887,0.481406271,0.575846255,0.062947609,-0.007565388,-0.298242182,-0.107151583,-0.138517395,NA,NA,NA,NA,NA
sub-A00028613,0.140021741,0.137331158,0.397938609,0.292899787,0.614194572,0.204228774,-0.003055362,-0.317673922,0.142083675,-0.050614052,NA,NA,NA,NA,NA
sub-A00028625,0.214330912,0.082010061,0.517107844,0.30812487,0.623115122,0.191336572,0.14453575,-0.439884573,0.277215391,0.033596106,NA,NA,NA,NA,NA
sub-A00028656,0.424479961,-0.062687628,0.72051996,0.229582012,0.367357701,-0.251229346,0.158280477,-0.628504634,0.068063371,0.073002517,NA,NA,NA,NA,NA
sub-A00028691,0.20499742,-0.010383563,0.286469638,0.408115745,0.423291534,-0.173387781,0.141086027,-0.401322454,0.012781289,0.097363003,NA,NA,NA,NA,NA
sub-A00028694,0.014640969,0.169790193,0.608382761,-0.009971873,0.389433384,0.231077671,0.113755211,-0.576269567,0.365591794,0.083778508,NA,NA,NA,NA,NA
sub-A00028753,0.097029082,0.100846231,0.390108913,0.231978834,0.367799342,0.251828521,0.111707389,-0.21423243,0.124749728,0.155783117,NA,NA,NA,NA,NA
sub-A00028822,0.246332884,0.167348117,0.400225639,0.14981024,0.431938201,0.034458924,0.216932237,-0.249837816,0.08006373,0.156784847,NA,NA,NA,NA,NA
sub-A00028844,0.653742254,0.592155159,0.899009883,0.343059063,0.648052931,-0.46164602,-0.561400652,-0.819564223,-0.196613356,-0.458103061,NA,NA,NA,NA,NA
sub-A00028845,0.351426542,-0.001953434,0.637890041,0.136397719,0.572957397,0.089238964,0.326111704,-0.117910162,0.461970419,0.191323355,NA,NA,NA,NA,NA
sub-A00028912,0.203150392,0.550720632,0.527819157,-0.399692565,0.168324575,-0.091219939,-0.451036394,-0.377242655,0.526664436,0.081071526,NA,NA,NA,NA,NA
sub-A00028929,0.174427539,0.170461491,0.714188874,-0.229963154,0.653332174,-0.061570905,-0.336244702,-0.453387052,0.297590405,-0.158884019,NA,NA,NA,NA,NA
sub-A00028994,0.455920756,-0.097511597,0.750443041,-0.040767681,0.624591827,-0.108922318,0.285598338,-0.521707237,0.532156825,-0.04215702,NA,NA,NA,NA,NA
sub-A00029076,0.001196945,0.485747904,0.649793148,0.130901575,0.061798915,-0.050391849,-0.464444637,-0.412470013,0.153312296,0.35107258,NA,NA,NA,NA,NA
sub-A00029092,0.294210672,0.175672248,0.336488307,0.341207445,0.442673594,-0.09564168,0.036545917,-0.128086075,0.183254346,0.112772182,NA,NA,NA,NA,NA
sub-A00029126,0.603643179,-0.029559981,0.866728246,0.337740779,0.669607759,-0.529928088,-0.070426933,-0.690425694,-0.065972812,-0.201402053,NA,NA,NA,NA,NA
sub-A00029303,0.712535977,0.038284298,0.770201802,0.681385636,0.775792181,-0.530952215,0.074644424,-0.793646336,-0.420813918,-0.541887939,NA,NA,NA,NA,NA
sub-A00031605,0.270674437,0.397740692,0.601344943,0.221911758,0.380594313,-0.25929898,-0.298090726,-0.545510352,0.110697538,-0.011178421,NA,NA,NA,NA,NA
sub-A00031625,0.374460101,-0.092530429,0.462632388,0.574607074,0.350165397,-0.044720814,0.289717913,-0.598207712,-0.317034632,0.120791882,0.12327908,0.163237259,0.121692307,0.160217598,0.05599064
sub-A00031871,0.671288192,0.448801279,0.84251374,0.254946649,0.811401308,-0.510986805,-0.315393776,-0.780846655,-0.005087841,-0.613767147,0.18940188,0.363548487,0.204953834,0.149267614,0.313695669
sub-A00031872,0.360445857,0.261852562,0.33497858,0.495705456,0.41992563,0.239816472,0.278815776,-0.481670976,0.298003227,0.181347385,0.233546942,0.293599784,0.117682792,0.280743808,0.195371136
sub-A00032007,0.500338495,0.057160206,0.575979114,0.642904401,0.526727915,-0.220217526,0.043871395,-0.506156206,-0.411361188,-0.229607195,-0.002562822,0.095802687,0.058320604,-0.002824486,0.073097169
sub-A00032875,0.230273649,0.189139694,0.49988398,0.169930041,0.393731117,0.240537256,0.162731037,-0.6443156,0.422954261,0.256937981,0.17604968,0.051932186,0.204202265,0.261006296,0.297041416
sub-A00032876,0.322680563,0.397803873,0.342442781,0.451995134,0.553507924,0.071769156,-0.174704731,-0.455998898,-6.95E-04,-0.037393689,0.063333891,0.102927938,0.118880987,1.55E-04,0.10753978
sub-A00033011,0.172475904,-0.022934169,0.445578843,0.302711546,0.341304183,0.112156123,0.13154304,-0.592175901,0.023786141,0.12466716,0.020372994,0.045844924,0.353987783,0.074786283,0.082904838
sub-A00033232,0.067141652,0.179391682,0.630706966,0.009535155,0.238752723,0.196661949,-0.162902951,-0.714678705,0.373334676,0.117725112,0.122202367,0.0497276,0.167109728,0.226160333,0.241909742
sub-A00033589,0.409334362,0.632953703,0.757039189,-0.207536995,0.28892386,-0.360712111,-0.537238002,-0.665807605,0.441314667,0.073307738,NA,NA,NA,NA,NA
sub-A00033609,0.204264477,0.149815053,0.781736195,0.281665474,0.781921029,-0.022973189,-0.044736594,-0.800464749,-0.105074026,-0.551406205,NA,NA,NA,NA,NA
sub-A00033643,0.634441376,0.175194621,0.718833923,0.471051246,0.619913638,-0.368766665,-0.036146905,-0.653820992,-0.129982203,-0.23362191,0.203172088,0.15409115,0.288875252,0.21981892,0.263473541
