G_ddmn,G_vdmn,G_sal,G_rcen,G_lcen,A_ddmn,A_vdmn,A_sal,A_rcen,A_lcen,H_ddmn,H_vdmn,H_sal,H_rcen,H_lcen
0.147763744,0.336139172,0.490456969,-0.204939365,0.292340577,0.065382227,-0.303319991,-0.227803692,0.544356227,0.170390487,NaN,NaN,NaN,NaN,NaN
0.126895428,-0.010954346,0.161796212,0.331229985,0.436496615,0.35663867,0.336304575,-0.185740292,0.166669145,0.379537255,NaN,NaN,NaN,NaN,NaN
0.374584883,0.30359441,0.237126231,0.527305603,0.652518749,-0.011135177,0.007887297,-0.336732745,-0.075001478,-0.317261904,NaN,NaN,NaN,NaN,NaN
0.165026024,0.410787195,0.214029342,0.396562338,0.527400017,0.348138034,0.46932891,-0.205590412,0.400790572,0.43448171,NaN,NaN,NaN,NaN,NaN
0.476277322,0.15135251,0.877490997,0.432436496,0.823019087,-0.428463519,-0.276407272,-0.823513746,-0.28963834,-0.621336162,NaN,NaN,NaN,NaN,NaN
0.400536746,0.161118343,0.687087536,0.315649748,0.602888465,-0.151991785,-0.392768025,-0.427326381,0.096511573,-0.244456038,NaN,NaN,NaN,NaN,NaN
0.456129581,0.134246573,0.482119858,0.204896733,0.440004975,-0.200680211,0.028441543,-0.440571487,0.05284135,-0.11165563,NaN,NaN,NaN,NaN,NaN
0.291033596,0.073652908,0.227955237,0.286163568,0.549886584,0.200588256,0.430106759,-0.654741287,0.428243816,0.154607609,NaN,NaN,NaN,NaN,NaN
0.484762192,0.22621797,0.580352008,0.509895027,0.69429636,-0.256738544,-0.068620645,-0.590538204,-0.225244701,-0.350929648,NaN,NaN,NaN,NaN,NaN
0.061080243,-0.403607666,0.683559835,0.163812146,0.447433352,0.076545887,0.488948464,-0.542304039,0.242209524,-0.048042495,NaN,NaN,NaN,NaN,NaN
-0.037551876,0.453664035,0.844914973,0.345525444,0.328047693,0.103299752,-0.265224159,-0.595368028,-0.016888166,0.193023846,NaN,NaN,NaN,NaN,NaN
0.230755076,0.311228722,0.273738712,0.525654793,0.574949324,-0.005246525,-0.014771647,-0.30495587,-0.18985565,-0.163025022,NaN,NaN,NaN,NaN,NaN
0.167878836,0.183072925,0.338808566,0.247155175,0.632472456,0.191160098,-0.034101799,-0.274755985,0.140852943,-0.077595182,NaN,NaN,NaN,NaN,NaN
0.247459427,0.113379508,0.514067709,0.343868971,0.629378736,0.13449198,0.135699794,-0.464792103,0.244342402,0.015667124,NaN,NaN,NaN,NaN,NaN
0.456631333,-0.19157052,0.783187747,0.149831265,0.397319049,-0.291742206,0.255785733,-0.692608058,0.079629235,0.014683655,NaN,NaN,NaN,NaN,NaN
0.158598632,0.027533213,0.265755117,0.392861724,0.410652965,-0.101248331,0.073501959,-0.366536915,-0.000102786,0.075047128,NaN,NaN,NaN,NaN,NaN
0.039089065,0.216631547,0.647024751,0.006550586,0.399252802,0.203862578,0.069053896,-0.576117396,0.346160829,0.074016131,NaN,NaN,NaN,NaN,NaN
0.12532261,0.104757898,0.381940961,0.263858646,0.379759461,0.244394779,0.163462251,-0.23004204,0.134396881,0.167225614,NaN,NaN,NaN,NaN,NaN
0.248940885,0.142403394,0.399780273,0.170244277,0.447329104,0.051445313,0.199031651,-0.251579225,0.094680376,0.130370259,NaN,NaN,NaN,NaN,NaN
0.720697761,0.689371705,0.902258515,0.489007503,0.692833543,-0.600736141,-0.622700393,-0.820772052,-0.420538545,-0.53417933,NaN,NaN,NaN,NaN,NaN
0.362189442,-0.02385339,0.634385586,0.100737013,0.533403039,0.148484275,0.39526391,-0.071550198,0.509852111,0.239875287,NaN,NaN,NaN,NaN,NaN
0.173797265,0.476874828,0.524738669,-0.347327352,0.160082936,-0.064468026,-0.403062552,-0.373750299,0.49402836,0.087321363,NaN,NaN,NaN,NaN,NaN
0.178082541,0.258983105,0.697078764,-0.177291006,0.5874421,-0.080341555,-0.421603948,-0.443479568,0.219378427,-0.106259756,NaN,NaN,NaN,NaN,NaN
0.478560925,-0.095876791,0.740285635,-0.003867322,0.584580064,-0.105744302,0.297136903,-0.492600143,0.520425141,-0.034417994,NaN,NaN,NaN,NaN,NaN
-0.058078013,0.514483035,0.679079175,0.196751297,0.16097936,-0.055513389,-0.486349791,-0.394037843,0.11611899,0.32579115,NaN,NaN,NaN,NaN,NaN
0.24689199,0.092744239,0.420550615,0.310659051,0.486439914,-0.064566933,0.09188588,-0.186557382,0.200557023,0.050123625,NaN,NaN,NaN,NaN,NaN
0.599309087,-0.027802408,0.862569511,0.314240128,0.664386928,-0.552201629,-0.105241008,-0.668173432,-0.056886483,-0.190819353,NaN,NaN,NaN,NaN,NaN
0.702621758,-0.007281261,0.788175821,0.684635878,0.773581743,-0.5376454,0.088946514,-0.79456538,-0.441123366,-0.561847866,NaN,NaN,NaN,NaN,NaN
0.241471648,0.357480437,0.622684598,0.278524309,0.462655574,-0.193328291,-0.235937521,-0.527163923,0.118904576,-0.062410641,NaN,NaN,NaN,NaN,NaN
0.388057083,-0.014067003,0.418435127,0.557460606,0.400272489,-0.056548133,0.256258339,-0.565616786,-0.315155983,0.099143684,0.207404196,0.279316008,0.028191822,0.210932985,0.125518441
0.6768502,0.474827558,0.847927988,0.263536841,0.806393206,-0.503648579,-0.309701532,-0.764034152,0.021079833,-0.556533396,0.218622863,0.44906655,0.247050062,0.209146678,0.41342622
0.38260594,0.268438011,0.353625119,0.479309559,0.43614167,0.202431276,0.258995593,-0.475671142,0.287878603,0.146668613,0.194158077,0.283379108,0.090706296,0.285236418,0.166196704
0.461972862,0.057555817,0.633613467,0.633779764,0.573379934,-0.201284856,0.023372104,-0.520525992,-0.435610503,-0.264377475,0.092140973,0.099358834,0.022855368,0.050988864,0.048907839
0.217806056,0.211089835,0.509909332,0.091941044,0.335420102,0.226934016,0.100742556,-0.630740166,0.463005304,0.295196652,0.188974231,0.057791322,0.213245898,0.276918381,0.328156739
0.353901953,0.408502787,0.269317627,0.485082775,0.572471619,0.065604188,-0.202879563,-0.387580633,-0.036198799,-0.06289798,0.136867672,0.117240578,0.104100399,0.082610272,0.200479582
0.119742133,-0.049550347,0.459437996,0.269329548,0.330191404,0.172107056,0.155197322,-0.607715189,0.060312476,0.13724044,-0.000846393,0.027633712,0.376868784,0.081282258,0.08300925
0.095256664,0.197738573,0.632871568,0.05179444,0.268572181,0.189631104,-0.173116148,-0.723373711,0.371263504,0.130855218,0.127953529,0.072506845,0.126035199,0.228453442,0.185012504
0.433218151,0.636713982,0.762953877,-0.198822886,0.283310652,-0.394953787,-0.556644976,-0.662716508,0.425372303,0.073202103,NaN,NaN,NaN,NaN,NaN
0.197670415,0.151276305,0.789794564,0.284077257,0.76931417,0.000663389,-0.01659305,-0.798509419,-0.13907598,-0.533643723,NaN,NaN,NaN,NaN,NaN
0.700039506,0.169959247,0.737816334,0.562887728,0.674075246,-0.423697293,-0.030324932,-0.68537885,-0.224587023,-0.294476688,0.068195567,0.160529017,0.216906562,0.115776628,0.157659769
0.138305768,0.358009666,0.634747624,0.054967571,0.262795597,0.21425736,-0.106799908,-0.542777956,0.332045734,0.324062675,0.151156217,0.269563645,0.187761292,0.209334716,0.386876434
0.372156143,0.225841254,0.620108068,0.320556045,0.611342549,-0.062550716,0.004668357,-0.759884775,0.104390442,-0.203073904,0.13463679,0.066786595,0.22051999,0.109596729,0.155069813
0.568937957,0.064940333,0.373931795,0.512437403,0.404392332,-0.351029128,-0.087224878,-0.31584987,-0.218082786,-0.184521601,0.14278318,0.190022498,0.065942645,0.083421409,-0.087235071
0.345851034,0.594766557,0.148109257,0.087736435,0.273405671,-0.264162451,-0.568821073,-0.001148268,0.090033777,0.035293106,NaN,NaN,NaN,NaN,NaN
0.042548586,0.633232117,0.39425385,-0.128037721,0.142606035,-0.048814882,-0.602967978,-0.1471093,0.281210035,0.213725626,0.155346513,0.225377396,0.211098999,0.096443839,0.105033338
0.428053051,0.287431359,0.719048142,0.050189998,0.716715932,-0.555775344,-0.031631641,-0.21103476,0.318947047,-0.110493205,0.163095012,0.348284572,0.349693477,0.24572444,0.414474189
0.483111948,0.204087332,0.280099601,0.488892943,0.418069094,-0.009076917,0.077086002,-0.432048976,0.195952952,0.12342602,NaN,NaN,NaN,NaN,NaN
0.394503355,0.136366725,0.393718362,0.38741985,0.662019312,0.380852282,0.285141081,-0.427805483,0.308626711,0.076162174,NaN,NaN,NaN,NaN,NaN
0.763572216,0.236185253,0.840557456,0.147722259,0.612774611,-0.678215742,-0.119706169,-0.803184748,0.047634106,-0.354216695,NaN,NaN,NaN,NaN,NaN
-0.26603961,0.376985967,0.197319731,-0.259787142,0.28009975,0.461372435,-0.168896317,-0.299667209,0.639995933,0.164806217,NaN,NaN,NaN,NaN,NaN
